位置,球員名稱,擊球,力量,速度,傳球,防守,卡片等級,技能說明,能力總和平均
投手(打),費爾南德斯,179,179,179,179,179,紫卡,,179
投手(打),吉米,179,179,179,179,179,紫卡,,179
投手(打),宰鎬,203,225,186,169,169,藍卡,,190.4
投手(打),賈西亞,179,179,179,179,179,藍卡,,179
投手(打),尤娜,179,179,179,179,179,藍卡,,179
投手(打),埃里克,179,179,179,179,179,白卡,,179
投手(打),詹姆士,179,179,179,179,179,白卡,,179
投手(打),米雪兒,179,179,179,179,179,白卡,,179
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
位置,球員名稱,控球,速度,移動,旋轉,,卡片等級,,能力總和平均
投手,偉德,186,186,212,225,,金卡,,202.25
投手,萊利,169,228,225,186,,金卡,,202
投手,翔太郎,216,202,179,212,,金卡,,202.25
投手,瑪麗亞,219,176,232,182,,金卡,,202.25
投手,羅傑,182,222,192,212,,金卡,,202
投手,瑪俐,169,232,212,196,,金卡,,202.25
投手,默多克,232,173,212,192,,金卡,,202.25
投手,喬許,196,225,173,216,,金卡,,202.5
投手,露娜,225,179,202,202,,金卡,,202
投手,西蒙,169,232,176,232,,金卡,,202.25
投手,杰伊,222,169,173,232,,紫卡,,199
投手,美玲,222,222,182,169,,紫卡,,198.75
投手,穆勒,196,202,169,228,,紫卡,,198.75
投手,卡洛琳,228,182,202,182,,紫卡,,198.5
投手,費爾南德斯,169,219,216,192,,紫卡,,199
投手,吉米,212,192,232,173,,紫卡,,202.25
投手,宰鎬,225,216,182,173,,藍卡,,199
投手,賈西亞,202,202,202,189,,藍卡,,198.75
投手,尤娜,219,202,182,192,,藍卡,,198.75
投手,埃里克,176,216,189,216,,白卡,,199.25
投手,詹姆士,182,212,206,196,,白卡,,199
投手,米雪兒,212,182,196,205,,白卡,,198.75
