位置,球員名稱,擊球,力量,跑速,傳球,防守,卡片等級,技能,能力總和平均,角色介紹
外野手,瑪克庫斯,182,173,192,212,202,紫卡,[搶天球] 跑得快，跳得高，有機會接到左右外野出界球，接球後在空中投球,192.2,是一名墨西哥球星，受到日本父親的空手道訓練，他將自己的紀律引導到外場，在那裏他的跳躍能力使他成為了一名防守隊員
外野手,喬,176,173,196,209,209,藍卡,[完美防守] 在防守且無跑者時 速度+40 防守+40,192.6,防守能力可靠的外野手，興趣是去賭場
外野手,克里絲汀,182,212,199,182,186,藍卡,[衝刺] 以跑者身分在二壘或三壘時  速度+30,192.2,克里絲汀原本是一名披薩外送司機，直到某天，她出去送披薩給一支棒球隊，從此一去不複返
外野手,摩根,222,179,212,179,169,藍卡,[耐力] 超過第九局之後，每局都會讓力量增加,192.2,橫空出世的棒球天才。上比賽時間越久，她的注意力就會越集中
外野手,王,189,196,196,196,186,藍卡,[潛艇殺手] 對上潛艇投手時，力量+36,192.6,進攻與防守兼備的全方位好手，會經學過中國武術且熟悉功夫
外野手,內維尔,202,189,232,169,169,白卡,[頭先滑動] 使用特殊的頭先滑壘，有機會球到時仍安全上壘,192.2,他是一名具有特殊頭先滑動技巧的球員。 會講詼諧的笑話，他在同事中很受歡迎
外野手,羅素,176,189,232,176,189,白卡,[關鍵一擊打擊手] 當跑者處於得分位置時 擊球+24,192.4,羅素非常樂觀，隊友都很喜歡他開朗的性格
外野手,麥可,205,212,196,179,169,白卡,[右臂殺手] 對上右投手時，擊球+18,192.2,麥可帥氣迷人，也很受歡迎。他的棒球技術一流，就像他的長相一樣!
外野手,鳳凰城,192,169,216,216,169,白卡,[奔馳] 盜壘時，速度+24,192.4,她來自委內瑞拉，腳步非常敏捷，她的快腳就是致命的武器
外野手,亞歷山大,212,169,232,179,169,白卡,[標記並離開] 衝壘再回壘跑速增加，高飛犧牲打的情況跑極快,192.2,與瑞恩一起玩耍的英國貴族。 標記是亞歷山大的專長，這要歸功於他敏銳的反應 !
外野手,拉瑪,176,173,212,232,169,白卡,[標記殺手] 他的傳球能力大大增加,192.4, 一個來自印度尼西亞小島的男孩，以投擲石塊為生。他令人難以置信的外場接球技巧讓他輸掉了比賽
內野手,米奇,232,199,189,173,186,金卡,[跳高接球] 可以跳得很高來接球,195.8,米奇一向活躍、頑皮。雖然他胖嘟嘟，卻能夠跳得很高來接球
內野手,吉布森,216,228,186,169,179,金卡,[力量平飛球] 平飛球有很高的機率讓對手出現失誤,195.6,吉布森強大的命中率總是能為球隊拿下勝利。他和穆雷很親近，對髮型也很特別感興趣
內野手,英二,192,192,176,225,192,金卡,[暴風雨投擲] 以驚人的速度內野傳球。,195.4,一個強壯的內野手，投擲速度驚人。 高中的時候，他是半藏的對手
內野手,德克斯特,169,169,216,192,232,金卡,[衝刺防禦] 防守範圍很廣,195.6,夢想成為最強游擊手的男人。 他廣泛的防守可以在任何危機中保護球隊。 據說他很受女性歡迎
內野手,瑪蒂娜,225,173,219,176,186,金卡,[難纏的打手] 每一次的界外球都會讓力量增加,195.8,喜歡霸凌他人，所以少惹她為妙 !
內野手,湯姆,216,232,169,192,169,金卡,[強擊手] 隨著力量的增加，速度會下降，並且在防禦情況下移動速度非常慢,195.6,湯姆因缺乏打出本壘打的力量而感到沮喪，他經歷了嚴格的訓練並急劇增加，成為一名強大的球員
內野手,圖阿,222,232,169,173,182,金卡,[動力擺動] 手動聚集力量做出強大的揮桿,195.6,出生於薩摩亞島的圖阿憑藉著強烈的揮桿和出色的擊球感，成為棒球界的新興強者
內野手,查德,212,202,196,169,182,紫卡,[變速球殺手] 擊打變化球時，擊球區域變大，擊出球的距離增加,192.2,查德一直是威爾遜冷靜的夥伴一一但當他喚醒內在的力量時，他以傳奇般的力量揮棒，將變化球打得粉碎
內野手,奧茲,202,169,202,173,216,紫卡,[克拉特夫先生] 壘包上的人越多，防守能力越強，打擊能力越強,192.4,他在關鍵時刻以敏銳的專注力在壓力下表現出色，並以他無懈可擊的後空翻技巧給球迷們留下了深刻的印象
內野手,傑克森,202,222,176,173,189,紫卡,[直覺] 不時可以預測投手的球路,192.4,喜好吹噓自己可以預測投手的球路，同時是一名跟自己同名歌手的鐵桿粉絲
內野手,威利,225,179,192,169,196,紫卡,[節奏擊球] 力量和對方的投手旋轉相同,192.2,威利是一位熱愛音樂的紐約人。他獨特的節奏感讓他能夠調整好球力量以適應任何投手的旋轉!
內野手,吉娜,216,169,232,169,192,紫卡,[敏捷內野手] 她在防守時動作很快,195.6,一個身材矮小但速度非常快的內野手，她的動作像閃電一樣。 她聰明果斷，據說畢業於一所頂級醫學院
內野手,杜蘭特,186,216,173,219,169,紫卡,[快速內野轉傳] 表演出快速內野轉傳,192.6,能夠非常快地接球，且在體育場可以看見他隋身攜帶他寵物倉鼠莫里斯
內野手,福斯,196,169,232,182,182,紫卡,[完美盜壘] 盜壘有高機率成功 (本壘除外),192.2,福斯盜壘的技能無人能及。當福斯上壘成跑者後，對方球隊可要小心了
內野手,威爾遜,212,212,176,169,192,紫卡,[快球殺手] 擊中快球時，距離增加,192.2,作為一名前重量級拳擊手，他擅長以敏銳的意識和快速的反應擊打快速球
內野手,哈登,219,176,219,169,179,紫卡,[徒手傳球] 徒手接住慢球後傳球速度更快,192.4,他的防守招式既驚人又難以預測，另外也是眾人和皆知的嘻哈迷
內野手,卡亞,202,202,202,173,182,紫卡,[野性之魂] 準備擊球時，力量或擊球或速度隨機一種強化,192.2,一個與動物和諧相處的神秘山居女孩，意外的深深愛上了她在村子裡目睹的棒球魅力
內野手,維,232,169,222,169,169,紫卡,[超級記憶力] 憑藉記憶力可以持續看到好球帶,192.2,記憶力超強的台灣男孩。 父母知道他只對棒球感興趣，就向他介紹了棒球，以培養社交技能
內野手,獅子座,212,169,192,176,212,紫卡,[新秀感覺] 接到球前提早按傳球，可以快速傳球,192.2,像彗星一樣閱入聯盟的新秀，在內場展現出了令人印象深刻的防守技巧
內野手,泰勒,212,222,182,173,173,紫卡,[泰勒射擊] 大多數擊中的球在飛行時都會明顯向左彎曲,192.4,受到兒時對高爾夫的熱情的啟發，泰勒將自己的揮桿動作適應了棒球，並完善了一項使他的擊球曲線顯著的技巧
內野手,馬丁,192,212,182,182,192,紫卡,[梯形協同] 連攜(SS/2B) 提高守備和傳球數值，並減少失誤,192,馬丁是一位多才多藝的運動員，為了紀念他熟愛棒球的媽媽，他轉為職業球員。作為一名內野手，他的防守是無與倫比的。
內野手,池城,202,182,182,182,212,紫卡,[實用播放器] 根據防守位置獲得不同的能力,192,池城是一位來自韓國的傑出內野手，他是一位終極多才多藝的球員 - 速度快、多才多藝，並且隨時準偽好站出來並投球
內野手,艾米莉,176,176,222,202,202,紫卡,[分析師] 如果你正確預測下一個投球類型，你將獲得一個隨機特殊增益,195.6,艾米麗會擔任棒球隊經理，憑藉不懈的努力，她成功以球員身份首次亮相。她擅長分析投球模式，擁有出色的預測和應對投手下一球的能力
內野手,喬丹,209,192,196,182,182,藍卡,[完美防守] 防守時不失誤,192.2,完美主義者，在每一件事上都想做到最好，包括棒球。此外還喜歡在假日打掃房子
內野手,伊布,182,228,169,173,209,藍卡,[側肩殺手] 對上側投手時，擊球+36,192.2,他的打擊技術非常出色，但腳步總有些遲疑。 他對安妮一見鍾情
內野手,凱文,212,232,169,176,173,藍卡,[No.4] 打第四棒時，力量 +6,192.4,凱文是最強的棒球選手之一。他來自夏威夷，嗜好包括用魚叉捕魚
內野手,漢克,192,189,196,189,196,藍卡,[首球殺手] 打到第一個投球時，力量+30,192.4,漢克的攻防能力堪稱完美。平時雖然性格溫和，但在比賽中會變得非常強悍
內野手,羅賓遜,202,202,216,169,173,藍卡,[勢不可擋的打擊] 連續安打越多，力量和擊球數值就越高。下一場保持狀態，直到安打中斷,192.4,在特種部隊服役期間，他遇到了穆勒，並開始打棒球。 他只要順其自然，就是不可阻擋的擊球手
內野手,安德烈,219,228,176,186,169,藍卡,[本壘打炒作] 每當他打出本壘打時都會舉行盛大的慶祝活動，嘲諷對手,195.6,安德烈，葡萄牙派對動物 !他以高性能的爸爸身體、強大的本壘打和精彩的慶祝活動震撼了球場
內野手,安迪,173,212,232,173,173,藍卡,[超載運行] 如果前面壘上無跑者，跑到下個壘包速度會持續提高,192.6,他是個好門的跑墨員。 他討厭有人扛他的頭
內野手,傑克,173,216,182,202,189,藍卡,[負責上壘的球員] 打第一棒時，速度+12,192.4,急性子，而且喜歡當第一個攻擊手
內野手,哈珀,196,219,189,176,182,藍卡,[以推擊技術為主的強力打擊] 當你稍微延遲好球並推它時，它在空中行進的距離會增加,192.4,哈珀在高中時是個神童，但她選擇入伍。在服役期間，她磨練了一種驚嘆的激勵和啟發能力，讓每個人都感到敬畏 !
內野手,芭芭拉,173,173,173,222,222,藍卡,[點金術] 勝利的黃金獎勵加倍。小概率變成10次或100次 (僅限普通賽),192.6,芭芭拉通過成功的創業積累了巨大的財富，現在加入聯盟追求成為棒球明星的夢想
內野手,半藏,202,169,192,182,216,白卡,[飛身滾地接球] 飛身接球後，迅速站起來,192.2,有傳言說他是日本忍者家族的後裔，同時也喜歡搖滾樂
內野手,史密斯,216,173,222,169,182,白卡,[全力以赴] 打擊到球後，衝刺至一壘,192.4,為每一件事盡力而為，即使會在一壘被觸殺，他仍然會盡全力跑向一壘
內野手,布拉克,205,196,182,173,205,白卡,[克服危機] 當對手在得分位置，防守+40,192.2,布拉克喜歡收集球棒，因此會在比賽中全力以起來完成他的收藏
內野手,亞歷山卓,182,216,205,186,173,白卡,[滿壘全壘打] 滿壘時，力量+40,192.4,男人都會屈服於她的力量。儘管外表堅強，但卻喜歡照顧花花草草
內野手,泰瑞,192,169,216,179,205,白卡,[突襲短打] 短打之後，速度+20,192.2,他喜歡使用難以預測的戰略短打，同時也很帥氣，甚至有自己的粉絲俱樂部
內野手,羅德里格茲,186,173,186,202,212,白卡,[左肩殺手] 對上左投手時，力量+38,191.8,羅德里格茲平常不拘小節，但在防守上卻是一絲不苟
捕手,潔西卡,212,176,199,196,196,金卡,[投手控球] 縮小投手的控球範圍,195.8,捕手頭盔底下，是曾經參加過選美的美麗臉龐
捕手,卡洛斯,173,222,169,232,182,金卡,[神槍手] 具有出色的投擲速度和準確性，這對於跑壘者試圖搶壘時至關重要,195.6,卡洛斯是一位充滿激情的球員，擁有強壯的肩膀，使他能夠在坐著時熟練地狙擊跑步者，使他成為最酷的接球手之一
捕手,維克多,216,232,169,176,169,紫卡,[一擊] 每次擊球時，你可以使用一次強力揮棒技巧,192.4,維克多是全國鏈球冠軍，職業生涯因傷病而結束。他憑藉著強大的臂力和核心力量，重塑了自己，成為一名捕手。雖然他擁有驚人的力量，但據說他會限制自己的力量，以避免過度用力
捕手,馬修,173,202,176,216,196,紫卡,[遊戲招喚] 當投手投進指定區域時，球速+20,192.6,畢業於名牌大學的聰明人 盡管身體能力低下，馬修的高智商還是幫助他跟上賽場的節奏
捕手,馬力歐,182,202,176,202,189,紫卡,[短打就緒] 當對手短打時，你的守備移動速度大幅增加,190.2,來自義大利。儘管他身材高大，但他的反應很快。他也是一名經過認證的義大利廚師
捕手,穆雷,199,209,169,192,192,紫卡,[搶分獵人] 當有兩名或更多跑者時，好球區會大幅增加,192.2,一名老練的打擊手，也對時尚和髮型感興趣
捕手,尼亞,202,173,202,202,182,紫卡,[條件讀取] 向投手推薦投球並增強投球的旋轉+20,192.2,妮婭能夠熟練地辦別周圍人的細微變化，並能準確地識別出來自她球隊的投手的最有力的投球
捕手,安吉麗娜,192,173,222,192,182,紫卡,[球隊主播] 所有擊球手的擊球加+10,192.2,母親般的寬宏大量和虔誠的性格，能夠讓隊員們始終保持平靜。
捕手,加法器,173,202,169,202,216,紫卡,[戰地指揮官] 可以控制守備陣形,192.4,作為一名從板球過渡過來的退伍軍人，領導能力和戰略眼光使他成為任何防守的關鍵球員
捕手,巴瑞,202,176,202,196,186,藍卡,[十足競爭力] 球隊處於落後時，力量+30 擊球+30,192.4,擅長防守的捕手，成為一名棒球選手是為了兌現對朋友的承諾
捕手,愛德華,182,179,189,196,216,藍卡,[不計分] 零好球時，力量+30,192.4,愛德華有一個迷人的紅鼻子，喜歡在賽後和投手喝一杯。
捕手,湯尼,196,192,176,228,169,白卡,[強力心臟] 兩好球時，力量+30,192.2,他是一個肩膀和腰部強壯的運動員。 在危機時刻，他變得更堅強
捕手,瑞奇,216,186,202,189,169,白卡,[疑難排解專家]在第九局時，擊球+18 速度+18,192.4,儘管有著可以阻止球員盜壘的強壯肩膀，他卻相當沉默寡言
捕手,羅斯,222,169,202,173,196,白卡,[投擲控制] 投手的球種越多，控球區域變得越小,192.4,瑪俐的雙胞胎妹妹。溫柔體貼的性格讓她與鑽石內的其他球員，尤其是投手有著極強的親和力 ! 她是為數不多的能夠穩定瑪俐控球的接球手之一
投手(打),偉德,179,179,179,179,179,金卡,[傳奇殺手] 打者卡片等級越高，球速就越快,179,瑪蒂娜的哥哥。個性很害羞，完全不像他妹妹，而且似乎對女孩子有溝通障礙
投手(打),萊利,179,179,179,179,179,金卡,[不可觸碰的滑塊] 萊利SL球速會隨著在壘上的選手而增加,179,他能以驚人的速度投出滑行曲線球。 他小時候受過創傷，怕鴿子
投手(打),翔太郎,212,202,193,169,169,金卡,[雙持] 作為打者當壞球沒打時，力量增加 (擊出界外不算)。作為投手當投出好球時，球速增加,189,翔太郎是一位才華洋溢的投手和擊球手，是一位受到大家尊敬和喜愛的日本超級天才球員
投手(打),瑪麗亞,179,179,179,179,179,金卡,[球場偶像] 增加你所有野手的傳球能力,179,她的美貌如此迷人，就連她的隊友也愛上了她。 有傳言說她是俄羅斯大亭的女兒
投手(打),羅傑,179,179,179,179,179,金卡,[憤怒] 被安打後，對下一位打擊手的四縫線快速球速度增加,179,羅傑非常熱愛棒球，而且不喜歡輸的感覺
投手(打),瑪俐,179,179,179,179,179,金卡,[失控] 控球明顯下降，但速度提升不少,179,蘿絲的雙胞胎妹妹。雖然她的控球能力低，但她的投球速度非常快。沒有人能預料到她的下一步行動 ! 當蘿絲是捕手時，她的控球就穩定了
投手(打),默多克,179,179,179,179,179,金卡,[地面球手] 當已經投了兩個好球，默多克2SF會大大增加滾地球的機率,179,一位擁有冷靜心態的投手，即使有兩個壞球也能保持冷靜。儘管他的投球速度不是最快的，但他有一種冷靜的技巧，可以通過精確的動作和控制引起滾地球
投手(打),喬許,179,179,179,179,179,金卡,[節奏大師] 投過變化球後，快速球提升速度,179,喬許對巧克力牛奶的秘密熱愛，讓他肩膀力量推動了勢不可擋的快球。他是一股不可忽視的力量
投手(打),露娜,179,179,179,179,179,金卡,[節奏提升] 每局都會提高球速以及整個陣容的跑速,179,前K-POP 明星露娜(Luna) 憑藉其儀式性的首秀搶盡了風頭。被這種刺激所吸引，她很快就沉浸在棒球中
投手(打),西蒙,179,179,179,179,179,金卡,[控制藝術家] 你可以直接控制投球區域來投球,179,西蒙是一名擁有 20 年職棒大聯盟經驗、擁有傳奇成就的老將，他將驚人的速度與精湛的投球技巧相結合，贏得了控制大師的稱號
投手(打),諾瓦,179,179,179,179,179,紫卡,[激情高漲] 她每播放一首歌曲，會激活不同的效果。球速變快/增加控球/降低跑者速度,179,她因與露娜的羈絆從韓國DJ成為了棒球選手，憑藉神奇的節奏巧妙地擾亂了打者的時機
投手(打),杰伊,179,179,179,179,179,紫卡,[機智] 當對手盜壘時，有機會自動做出牽制,179,高度的直覺給了傑伊天生的優勢，他快速的接球幾乎可以阻止任何跑步者
投手(打),美玲,179,179,179,179,179,紫卡,[極端K] 三振時，旋轉能力顯著增強，狀態維持整場,179,來自台灣的天才棒球少女。 她開始打棒球是因為她欽佩尤娜。 她說三振出局的時刻是最激動人心的
投手(打),穆勒,179,179,179,179,179,紫卡,[高速旋轉球] 不時會投出高轉速球,179,這位投手最強大的武器就是他高轉速投球的力量。他以前是傭兵。退伍後才展開棒球生涯
投手(打),卡洛琳,179,179,179,179,179,紫卡,[完美控球] 兩好球時有完美控球,179,喜歡惡作劇的迷人紅髮女孩。在緊要關頭，她總能夠保持冷靜並擁有出色的控球能力
投手(打),費爾南德斯,179,179,179,179,179,紫卡,[冰臂] 根據跑壘員狀況減少控球面積和擊球距離,179,喜歡使用策略性投球而不是直接對抗的投手，但在困難情況或壓力下表現出力量
投手(打),吉米,179,179,179,179,179,紫卡,[指關節球大師] 以不同的順序投擲，指節球會獲得獨特的效果,179,吉米從一位傳奇投手那裡學會了蝴蝶球，並將其變成了他的秘密武器。當與他的其他球種搭配時，他的蝴蝶球成為擊球手最糟糕的噩夢
投手(打),宰鎬,203,225,186,169,169,藍卡,[天生打擊手] 一名投手，同時也是優秀的打擊手,190.4,儘管是一名投手，在打擊上卻毫不遜色。在打棒球之前，他曾經是一名程式工程師
投手(打),賈西亞,179,179,179,179,179,藍卡,[迫切渴望] 零好球時，旋轉+24,179,買西亞很愛吃熱狗，夢想是退休後能開美食餐車
投手(打),尤娜,179,179,179,179,179,藍卡,[全方位] 零壞球時，控球+30,179,很多人因為尤娜的陽光開朗而喜歡她。她雖然長得很漂亮，但卻寧願練習棒球也不願意化妝
投手(打),埃里克,179,179,179,179,179,白卡,[界外之怒] 每次你的對手界外，旋轉增加,179,作為一名自豪的維京血統的挪威人，埃里克鄙視故意界外破壞球場的擊球手
投手(打),詹姆士,179,179,179,179,179,白卡,[危機管理] 當跑者處於得分位置時，旋轉+24,179,來自古巴，強壯的肩膀讓他可以投擲快速球，他還是一個想在棒球上取得成功來孝順自己母親的暖男
投手(打),米雪兒,179,179,179,179,179,白卡,[自信心] 兩好球時，控球區縮小、球速增加,179,與她可愛的外表相反，米雪兒的性格非常好門。 出人意料的是，她在學生時代是舞團的團長
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
位置,球員名稱,控球,球速,移動,旋轉,,卡片等級,,能力總和平均,
投手,偉德,186,186,212,225,,金卡,[傳奇殺手] 打者卡片等級越高，球速就越快,202.25,瑪蒂娜的哥哥。個性很害羞，完全不像他妹妹，而且似乎對女孩子有溝通障礙
投手,萊利,169,228,225,186,,金卡,[不可觸碰的滑塊] 萊利SL球速會隨著在壘上的選手而增加,202,他能以驚人的速度投出滑行曲線球。他小時候受過創傷，怕鴿子
投手,翔太郎,216,202,179,212,,金卡,[雙持] 作為投手當投出好球時，球速增加。 作為打者當壞球沒打時，力量增加。 (界外不算),202.25,翔太郎是一位才華洋溢的投手和擊球手，是一位受到大家尊敬和喜愛的日本超級天才球員
投手,瑪麗亞,219,176,232,182,,金卡,[球場偶像] 增加你所有野手的傳球能力,202.25,她的美貌如此迷人，就連她的隊友也愛上了她。有傳言說她是俄羅斯大亭的女兒
投手,羅傑,182,222,192,212,,金卡,[憤怒] 被安打後，對下一位打擊手的四縫線快速球速度增加,202,羅傑非常熱愛棒球，而且不喜歡輸的感覺
投手,瑪俐,169,232,212,196,,金卡,[失控] 控球明顯下降，但速度提升不少,202.25,蘿絲的雙胞胎妹妹。雖然她的控球能力低，但她的投球速度非常快。沒有人能預料到她的下一步行動 ! 當蘿絲是捕手時，她的控球就穩定了
投手,默多克,212,192,202,202,,金卡,[地面球手] 當已經投了兩個好球，默多克2SF會大大增加滾地球的機率,202,一位擁有冷靜心態的投手，即使有兩個壞球也能保持冷靜。儘管他的投球速度不是最快的，但他有一種冷靜的技巧，可以通過精確的動作和控制引起滾地球
投手,喬許,196,225,173,216,,金卡,[節奏大師] 投過變化球後，四線快速球提升速度,202.5,喬許對巧克力牛奶的秘密熱愛，讓他肩膀力量推動了勢不可擋的快球。他是一股不可忽視的力量
投手,露娜,225,179,202,202,,金卡,[節論提升] 每局都會提高自身球速以及團隊的跑速,202,前K-POP 明星露娜(Luna) 憑藉其儀式性的首秀搶盡了風頭。被這種刺激所吸引，她很快就沉浸在棒球中
投手,西蒙,169,232,176,232,,金卡,[控制藝術家] 你可以直接控制投球區域來投球,202.25,西蒙是一名擁有 20 年職棒大聯盟經驗、擁有傳奇成就的老將，他將驚人的速度與精湛的投球技巧相結合，贏得了控制大師的稱號
投手,諾瓦,169,222,202,202,,紫卡,[激情高漲] 她每播放一首歌曲，會激活不同的效果。球速變快/增加控球/降低跑者速度,198.75,她因與露娜的羈絆從韓國DJ成為了棒球選手，憑藉神奇的節奏巧妙地擾亂了打者的時機
投手,杰伊,222,169,173,232,,紫卡,[機智] 當對手盜壘時，有機會自動做出牽制,199,高度的直覺給了傑伊天生的優勢，。他快速的接球幾乎可以阻止任何跑步者
投手,美玲,222,222,182,169,,紫卡,[極端K] 三振時，旋轉能力顯著增強，狀態維持整場,198.75,來自台灣的天才棒球少女。 她開始打棒球是因為她欽佩尤娜。 她說三振出局的時刻是最激動人心的
投手,穆勒,196,202,169,228,,紫卡,[高速旋轉球] 不時會投出高轉速球,198.75,這位投手最強大的武器就是他高轉速投球的力量。他以前是傭兵。退伍後才展開棒球生涯
投手,卡洛琳,228,182,202,182,,紫卡,[完美控球] 兩好球時有完美控球,198.5,喜歡惡作劇的迷人紅髮女孩。在緊要關頭，她總能夠保持冷靜並擁有出色的控球能力
投手,費爾南德斯,169,219,216,192,,紫卡,[冰臂] 根據跑壘員狀況減少控球面積和擊球距離,199,喜歡使用策略性投球而不是直接對抗的投手，但在困難情況或壓力下表現出力量
投手,吉米,212,192,232,173,,紫卡,[指關節球大師] 以不同的順序投擲，指節球會獲得獨特的效果,202.25,吉米從一位傳奇投手那裡學會了蝴蝶球，並將其變成了他的秘密武器。當與他的其他球種搭配時，他的蝴蝶球成為擊球手最糟糕的噩夢
投手,宰鎬,225,216,182,173,,藍卡,[天生打擊手] 一名投手，同時也是優秀的打擊手,199,儘管是一名投手，在打擊上卻毫不遜色。在打棒球之前，他曾經是一名程式工程師
投手,賈西亞,202,202,202,189,,藍卡,[迫切渴望] 零好球時，旋轉+24,198.75,買西亞很愛吃熱狗，夢想是退休後能開美食餐車
投手,尤娜,219,202,182,192,,藍卡,[全方位] 零壞球時，控球+30,198.75,很多人因為尤娜的陽光開朗而喜歡她。她雖然長得很漂亮，但卻寧願練習棒球也不願意化妝
投手,埃里克,176,216,189,216,,白卡,[界外之怒] 每次你的對手界外，旋轉增加,199.25,作為一名自豪的維京血統的挪威人，埃里克鄙視故意界外破壞球場的擊球手
投手,詹姆士,182,212,206,196,,白卡,[危機管理] 當跑者處於得分位置時，旋轉+24,199,來自古巴，強壯的肩膀讓他可以投擲快速球，他還是一個想在棒球上取得成功來孝順自己母親的暖男。
投手,米雪兒,212,182,196,205,,白卡,[自信心] 兩好球時，控球區縮小、球速增加,198.75,與她可愛的外表相反，米雪兒的性格非常好門。 出人意料的是，她在學生時代是舞團的團長
